代码,名称,收盘价,信号,评分
002512,达华智能,4.45,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号', '5分钟内有小幅上涨趋势']",75
600987,航民股份,7.17,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号', '5分钟内有小幅上涨趋势']",75
300489,光智科技,44.03,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号', '5分钟内有小幅上涨趋势']",75
002883,中设股份,10.2,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号', '5分钟内有小幅上涨趋势']",75
300141,和顺电气,8.21,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号', '5分钟内有小幅上涨趋势']",75
833171,国航远洋,7.52,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号', '5分钟内有小幅上涨趋势']",75
600061,国投资本,6.86,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号']",65
600728,佳都科技,4.75,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号']",65
601065,江盐集团,8.53,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号']",65
002082,万邦德,5.83,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', 'MACD金叉，买入信号', '5分钟内有小幅上涨趋势']",65
